		time				value
           9.8869288e-11                      0.22394991
           9.9264763e-11                      0.22937615
           9.9660245e-11                      0.23488863
           1.0005572e-10                      0.24048704
            1.004512e-10                      0.24617136
           1.0084667e-10                      0.25194138
           1.0124215e-10                      0.25779688
           1.0163763e-10                      0.26373753
            1.020331e-10                      0.26976302
           1.0242858e-10                      0.27587289
           1.0282405e-10                      0.28206664
           1.0321954e-10                      0.28834391
           1.0361501e-10                      0.29470387
           1.0401049e-10                      0.30114594
           1.0440597e-10                      0.30766946
           1.0480145e-10                      0.31427357
           1.0519692e-10                      0.32095748
            1.055924e-10                      0.32772028
           1.0598788e-10                      0.33456108
           1.0638335e-10                      0.34147862
           1.0677884e-10                      0.34847188
           1.0717431e-10                      0.35553974
           1.0756979e-10                      0.36268091
           1.0796526e-10                      0.36989409
           1.0836074e-10                      0.37717789
           1.0875622e-10                      0.38453099
           1.0915169e-10                      0.39195153
           1.0954717e-10                      0.39943838
           1.0994265e-10                      0.40698943
           1.1033813e-10                      0.41460338
           1.1073361e-10                      0.42227826
           1.1112908e-10                       0.4300119
           1.1152456e-10                      0.43780291
           1.1192003e-10                      0.44564879
           1.1231551e-10                      0.45354792
           1.1271099e-10                      0.46149772
           1.1310647e-10                      0.46949649
           1.1350194e-10                      0.47754139
           1.1389742e-10                      0.48563063
            1.142929e-10                      0.49376157
           1.1468837e-10                      0.50193149
           1.1508385e-10                      0.51013833
           1.1547933e-10                      0.51837897
           1.1587481e-10                      0.52665132
           1.1627028e-10                       0.5349521
           1.1666576e-10                      0.54327911
           1.1706124e-10                      0.55162895
           1.1745671e-10                      0.55999929
            1.178522e-10                      0.56838685
           1.1824766e-10                      0.57678837
           1.1864315e-10                      0.58520138
           1.1903861e-10                      0.59362221
            1.194341e-10                      0.60204828
           1.1982958e-10                      0.61047572
           1.2022505e-10                      0.61890197
           1.2062054e-10                      0.62732333
             1.21016e-10                      0.63573629
           1.2141149e-10                      0.64413792
           1.2180695e-10                      0.65252435
           1.2220244e-10                      0.66089267
           1.2259792e-10                      0.66923875
           1.2299339e-10                      0.67755973
           1.2338888e-10                      0.68585169
           1.2378434e-10                      0.69411081
           1.2417983e-10                      0.70233411
           1.2457529e-10                      0.71051735
           1.2497078e-10                      0.71865737
           1.2536626e-10                      0.72675014
           1.2576173e-10                      0.73479235
           1.2615721e-10                      0.74277991
           1.2655268e-10                      0.75070965
           1.2694817e-10                      0.75857753
           1.2734364e-10                      0.76637959
           1.2773912e-10                       0.7741127
            1.281346e-10                      0.78177267
           1.2853008e-10                      0.78935623
           1.2892555e-10                      0.79685926
           1.2932103e-10                      0.80427855
            1.297165e-10                      0.81160998
           1.3011198e-10                       0.8188504
           1.3050747e-10                      0.82599586
           1.3090294e-10                      0.83304256
           1.3129842e-10                      0.83998746
           1.3169389e-10                      0.84682649
           1.3208937e-10                      0.85355663
           1.3248484e-10                        0.860174
           1.3288032e-10                       0.8666755
           1.3327581e-10                      0.87305754
           1.3367128e-10                      0.87931657
           1.3406676e-10                      0.88544971
           1.3446223e-10                      0.89145333
           1.3485771e-10                      0.89732456
           1.3525318e-10                       0.9030599
           1.3564866e-10                      0.90865666
           1.3604415e-10                      0.91411155
           1.3643961e-10                      0.91942149
            1.368351e-10                      0.92458391
           1.3723057e-10                      0.92959571
           1.3762605e-10                      0.93445432
           1.3802152e-10                      0.93915689
